team,rating
Argentina,2166.245186550901
Spain,2159.5116175597
France,2090.95991335575
Brazil,2070.373974028983
Colombia,2046.0515316721944
Portugal,2040.1949413334294
England,2039.1069337954737
Germany,2010.6157808175537
Netherlands,1998.3385667564137
Japan,1990.3081192356774
Ecuador,1988.276467754241
Belgium,1986.1349345702627
Morocco,1972.0588909435835
Croatia,1954.3616213138796
Mexico,1947.1641829486348
Switzerland,1946.5769494418694
Uruguay,1944.4082728081937
Italy,1942.4321427513007
Norway,1938.8746774368026
Turkey,1935.9209042130299
Denmark,1929.3373935169132
Austria,1913.4496064783823
Algeria,1903.1960030097318
Iran,1894.6924063421561
Senegal,1891.997315393236
Canada,1889.9451437406094
Paraguay,1871.1256071942616
Australia,1866.8973964733798
South Korea,1866.380029461704
Basque Country,1853.1154539577685
Ukraine,1843.9729438005056
Russia,1843.5419562130894
United States,1834.2640233073414
Ivory Coast,1829.4711222383041
Nigeria,1826.7858080859935
Yugoslavia,1821.398595128977
Czech Republic,1819.9761782707228
Chile,1815.5744220033687
Scotland,1812.0393938329905
Venezuela,1802.875820227682
Uzbekistan,1795.2413680895875
Egypt,1795.087042034651
Serbia,1794.9177453202765
Jersey,1793.5218960230327
Greece,1792.613425368909
Czechoslovakia,1790.5398120994907
Panama,1788.4826361897262
Sweden,1787.2059411444636
Poland,1786.4915864504187
Hungary,1779.9020144849449
German DR,1757.8251488350986
Republic of Ireland,1756.6225565251007
Peru,1754.5411600673906
Kosovo,1748.8746616412204
Slovenia,1746.0593239344444
Tunisia,1744.5547181710756
Guernsey,1737.5080112563342
Catalonia,1733.4889692013323
Jordan,1731.6725341330277
Slovakia,1731.166754414063
DR Congo,1728.4797776248188
Wales,1726.8131454290212
Georgia,1722.1197580382534
Occitania,1712.2277119415403
Iraq,1710.6553491996046
Mali,1706.7618190652536
Isle of Man,1701.893057325306
Cameroon,1701.4216742063816
Israel,1697.3937816531563
Costa Rica,1696.9350143625513
Romania,1693.6031665638327
Northern Cyprus,1684.2413942601686
Padania,1682.56048406094
Saudi Arabia,1679.1332326354957
New Zealand,1675.7900851397787
Northern Ireland,1675.7577787527757
Haiti,1674.3239549634902
Bolivia,1667.960284806896
Honduras,1666.3018440866256
United Arab Emirates,1664.769494570495
Albania,1658.1738278478895
Isle of Wight,1657.5643502324904
South Africa,1655.4501171767918
Bosnia and Herzegovina,1652.1955332825867
Burkina Faso,1648.1766581814204
Iraqi Kurdistan,1647.9571870614413
Cape Verde,1645.8350351754857
Ynys Môn,1642.9133864026614
Andalusia,1642.1851291513672
Iceland,1641.4721173746325
Jamaica,1635.501746453631
Kernow,1634.9320786779244
North Macedonia,1629.330134855043
Abkhazia,1628.4185456583914
Ghana,1615.9816026248532
Finland,1614.0711472903865
Kárpátalja,1604.7249530515546
Belarus,1602.7799823823573
Guatemala,1600.8172530361944
Angola,1591.7154837962214
Rhodes,1590.4645343755217
County of Nice,1589.8688077744437
Panjab,1587.1374591687445
